qubit_id,tx_state,tx_basis,decoy_level,rx_state,rx_basis,matching_basis
0,0,0,0,0,0,True
1,1,0,0,1,1,False
2,0,0,0,1,1,False
3,1,0,0,1,1,False
4,0,0,0,0,1,False
5,0,0,0,0,1,False
6,1,0,0,1,0,True
7,1,0,2,0,1,False
8,1,0,2,1,0,True
9,0,0,0,0,0,True
10,1,0,0,1,0,True
11,1,0,0,1,0,True
12,0,0,0,0,0,True
13,1,0,0,1,0,True
14,1,0,0,0,1,False
15,0,0,0,1,1,False
16,0,0,0,0,0,True
17,1,0,0,0,1,False
18,1,0,0,1,0,True
19,1,0,0,1,0,True
20,1,0,0,0,1,False
21,0,1,0,0,1,True
22,1,0,0,1,0,True
23,0,0,0,0,1,False
24,1,0,0,0,1,False
25,0,0,0,0,0,True
26,1,0,0,1,0,True
27,0,0,0,0,0,True
28,1,0,2,1,1,False
29,1,0,0,1,0,True
30,0,0,0,0,1,False
31,1,0,0,1,1,False
32,0,0,0,0,1,False
33,1,0,0,1,1,False
34,0,1,2,1,0,False
35,0,0,0,0,0,True
36,0,0,0,0,0,True
37,0,0,0,0,1,False
38,0,0,2,0,1,False
39,1,0,0,1,1,False
40,1,0,0,1,0,True
41,0,0,2,0,1,False
42,1,0,0,0,1,False
43,1,0,0,1,0,True
44,0,0,2,0,0,True
45,1,0,2,1,0,True
46,0,0,2,0,0,True
47,0,0,0,0,1,False
48,1,0,0,1,1,False
49,1,0,0,1,0,True
50,1,0,0,1,0,True
51,1,0,0,1,0,True
52,0,1,2,0,0,False
53,1,0,0,1,0,True
54,0,1,0,0,1,True
55,1,0,2,1,0,True
56,0,0,2,0,0,True
57,1,0,0,1,1,False
58,1,0,2,0,1,False
59,0,0,2,0,0,True
60,0,1,2,1,0,False
61,1,0,0,1,0,True
62,1,0,0,1,0,True
63,1,0,0,1,0,True
64,0,0,2,0,0,True
65,0,0,0,0,0,True
66,0,0,2,0,0,True
67,0,0,2,0,0,True
68,0,0,0,0,0,True
69,1,0,0,1,0,True
70,0,1,2,0,1,True
71,1,0,0,1,1,False
72,1,0,0,1,1,False
73,0,1,0,0,1,True
74,0,0,2,0,1,False
75,0,0,0,0,1,False
76,0,1,0,0,0,False
77,0,0,0,0,1,False
78,0,0,0,0,1,False
